pn,name,address,city,state,zip,tel,active,termcode,termdate,partdate,prev_pn,medaffil,resprog_ada,resprog_ama,resprog_aoa,resprog_oth,residents,shortterm,cah,provider_subtype,typ_control,nonprofit,forprofit,govt,maryland,nonstate,urbancbsa,beds_tot,beds_cert,lastyear
010017,FAIRVIEW MEDICAL CTR,2048 W FAIRVIEW AVE,MONTGOMERY,AL,36108,3342657011,0,"vol-merg,close",24dec1985,05apr1972,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,1,168,168,2017
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,2053258100,1,active,,01jul1966,,major,0,1,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,106,106,2017
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,2563864556,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,185,185,2017
010020,PIEDMONT HOSPITAL,612 CALHOUN STREET P O BOX 330,PIEDMONT,AL,36272,2054476041,0,"vol-merg,close",21nov1991,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,1,47,47,2017
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,3347742601,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,89,89,2017
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,2569275531,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,60,60,2017
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,3342882100,1,active,,01jul1966,,limited,0,0,0,1,20,1,0,short term,government hosp district/authority,0,0,1,0,0,1,454,454,2017
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,3342938000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,349,349,2017
010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,3347561400,0,"vol-merg,close",01feb2014,01jul1976,,no affiliation,0,0,0,0,0,1,0,short term,government federal,0,0,1,0,0,0,115,115,2017
010026,COLUMBIA REGIONAL MEDICAL CENTER,200 HILLCREST DR,ANDALUSIA,AL,36420,3342224141,0,"vol-merg,close",31dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,89,89,2017
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,3348972257,0,"vol-merg,close",05feb2013,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,20,20,2017
010028,GUNTERSVILLE HOSPITAL,2067 GUNTER AVE BOX 340,GUNTERSVILLE,AL,35976,2055829194,0,"vol-merg,close",13jan1990,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,58,58,2017
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,3347493411,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,429,429,2017
010030,CHAMBERS COUNTY HOSPITAL,404 9TH AVENUE S W,LAFAYETTE,AL,36862,2058648844,0,"vol-merg,close",15dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,38,38,1993
010031,PHENIX REGIONAL HOSPITAL,1707 21ST AVENUE,PHENIX CITY,AL,36867,3342918502,0,"vol-merg,close",01apr2002,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,1,290,290,2017
010032,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,2563572111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,34,34,2017
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,2059344011,1,active,,01jul1966,,major,0,0,0,1,655,1,0,short term,government state,0,0,1,0,0,1,1157,1157,2017
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,3342836541,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,69,69,2017
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,2567372000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,115,115,2017
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,3342228466,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,100,100,2017
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,2562358900,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,125,125,2017
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,2562651000,1,active,,01jul1966,,limited,0,0,0,1,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,881,881,2017
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,2564944000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,346,346,2017
010041,NORTH MOBILE COMMUNITY HOSPITAL,BAKER ROAD  HARTLEY STREET,SATSUMA,AL,36572,3346751541,0,"vol-merg,close",07oct1988,22sep1978,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,38,38,2017
010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,2057552500,0,"vol-merg,close",10apr2013,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,60,60,2017
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,2059216200,1,active,,01nov1981,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,57,57,2017
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,2059325966,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,0,61,61,2017
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,2565435200,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,281,281,2017
010047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,3343762205,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,22,22,2017
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,3343470584,1,active,,28may1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,131,99,2017
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,2052743000,0,oth-status chg,19jun2013,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,25,25,2017
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,2053723388,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,20,20,2017
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,2568257821,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,46,46,2017
010053,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DR, MED PARK PLAZA",ATMORE,AL,36502,2513682500,0,"vol-merg,close",30jun2005,01jul1966,011301,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,0,51,51,2017
010054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,1874 BELTLINE RD SW,DECATUR,AL,35601,2563502211,0,"vol-merg,close",01jan2014,11jan1975,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,120,120,2017
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,3347935000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,235,235,2017
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,2059397000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,409,409,2017
010057,ENTERPRISE HOSPITAL,HWY 88 BOX 1220,ENTERPRISE,AL,36331,3343479541,0,"vol-merg,close",01apr1991,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,47,47,2017
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,2059264881,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,35,35,2017
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,2569742200,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,98,98,2017
010060,CLEBURNE COUNTY HOSPITAL,411 ROSS ST BOX 398,HEFLIN,AL,36264,2054632121,0,vol-other,26feb1990,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,0,17,17,2017
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562594444,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,170,170,2017
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,3346843655,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,83,83,2017
010064,PHYSICIANS MEDICAL CENTER CARRAWAY,1600 CARRAWAY BOULEVARD,BIRMINGHAM,AL,35234,2055026000,0,"vol-merg,close",31oct2008,25may1971,,limited,0,1,0,0,60,1,0,short term,non-profit private,1,0,0,0,0,1,617,617,2017
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,2563297100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,81,81,2017
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,3348583287,0,"vol-merg,close",31dec2013,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,23,23,2017
010067,JOHN A ANDREW COMMUNITY HOSPITAL,TUSKEGEE INSTITUTE,TUSKEGEE INSTITUTE,AL,36088,3347279375,0,"vol-merg,close",31oct1987,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,136,51,2017
010068,HEALTHSOUTH METRO WEST HOSPITAL,701 RICHARD M SCRUSHY PARKWAY,FAIRFIELD,AL,35064,2057835121,0,"vol-merg,close",03sep2004,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,274,274,2017
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,3346887271,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,74,74,2017
010070,MEDICAL PARK WEST,1915 19TH STREET ENSLEY,BIRMINGHAM,AL,35218,2057831000,0,"vol-merg,close",31jul1988,01jul1970,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,1,83,83,2017
010072,COOSA VALLEY BAPTIST MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,2562495600,0,oth-status chg,01aug2004,01jul1966,010164,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,148,148,2017
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,2563542131,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,53,53,2017
010074,HENRY COUNTY HOSPITAL & NURSING HOME,212 DOTHAN RD BOX 639,ABBEVILLE,AL,36310,3345852241,0,"vol-merg,close",01mar1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,48,48,2017
010075,PERRY COMMUNITY HOSPITAL,E LAFAYETTE ST,MARION,AL,36756,2056836111,0,"vol-merg,close",31dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,46,46,1993
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,2562355121,1,active,,01jul1966,010165,limited,0,1,0,0,11,1,0,short term,government local,0,0,1,0,0,1,323,323,2017
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,2562339292,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,71,71,2017
010080,LAMAR REGIONAL HOSPITAL,507 FIFTH STREET SW P O BOX 308,VERNON,AL,35592,2056957111,0,"vol-merg,close",20nov1996,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,70,70,2017
010081,BAPTIST MEDICAL CENTER DOWNTOWN,301 SOUTH RIPLEY STREET,MONTGOMERY,AL,36104,3342698650,0,vol-other,01jul1999,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,1,250,250,2017
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,2519493400,1,active,,01jul1966,,limited,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,112,112,2017
010084,UAB HIGHLANDS,1201 ELEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35205,2059307000,0,"vol-merg,close",31mar2006,13dec1973,010167,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,219,219,2017
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,2563412000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,457,457,2017
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,2054877736,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,71,71,2017
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,2514717110,1,active,,31dec1970,,major,0,1,0,0,84.54000091552734,1,0,short term,government state,0,0,1,0,0,1,406,406,2017
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,2053874000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,267,267,2017
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,2516331000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,1,349,349,2017
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,2512753191,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,50,50,2017
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,2057597111,1,active,,01jul1966,,major,0,1,0,1,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,787,787,2017
010094,NORTHWEST MEDICAL CENTER,715 HIGHWAY 43 NE,RUSSELLVILLE,AL,35653,2053321611,0,vol-other,01oct1998,19jul1972,010158,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,100,100,2017
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,3346243024,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,1,39,39,2017
010096,ABERNETHY MEMORIAL HOSPITAL,WILKINSON STREET P O DRAWER A,FLOMATON,AL,36441,3342962427,0,"vol-merg,close",31dec1992,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,15,15,2017
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,3345674311,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government state,0,0,1,0,0,1,69,69,2017
010098,RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22,ROANOKE,AL,36274,3348634111,0,"vol-merg,close",03jan2006,01jul1966,011303,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,92,49,2017
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,2518678061,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,65,65,2017
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,2519282375,1,active,,09aug1966,,limited,0,1,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,150,150,2017
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,2567614542,1,active,,01aug1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,122,122,2017
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,3346824131,1,active,,31jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,0,30,30,2017
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,2057833800,1,active,,01jul1975,,no affiliation,0,0,0,1,0,1,0,short term,non-profit church,1,0,0,0,0,1,505,505,2017
010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,2055921000,1,active,,08aug1966,,graduate,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,372,372,2017
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,3343614267,1,active,,17aug1977,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,85,85,2017
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,2053678111,1,active,,28jul1966,,limited,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,56,56,2017
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,3347382140,1,active,,07dec1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,61,61,2017
010111,GUIN HOSPITAL,1201 14TH ST BOX 250,GUIN,AL,35563,2054683353,0,invol-agreemnt,06apr1987,01may1980,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,0,21,21,2017
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,3342894000,1,active,,25mar1976,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,0,99,99,2017
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,2514354700,1,active,,01feb1967,,limited,0,1,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,677,677,2017
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,2054817000,1,active,,01nov1973,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,310,310,2017
010115,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,2563569532,0,"vol-merg,close",30sep2005,27apr1967,,no affiliation,0,0,0,1,0,1,0,short term,non-profit other,1,0,0,0,0,0,25,25,2017
010117,LONGVIEW GENERAL HOSPITAL,1100 BANKHEAD HWY SW,GRAYSVILLE,AL,35073,2056749422,0,"vol-merg,close",01jul1997,24aug1967,,no affiliation,0,0,0,0,2.25,1,0,short term,for-profit proprietary,0,1,0,0,0,1,50,50,2017
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,3344184100,1,active,,20jul1971,,limited,0,0,0,1,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,214,214,2017
010119,UNIV OF SOUTH AL CHILDRENS AND WOMENS,1700 CENTER STREET,MOBILE,AL,36604,3344151000,0,"vol-merg,close",30sep2001,29apr1969,013301,major,0,1,0,0,0,1,0,short term,government state,0,0,1,0,0,1,152,152,2017
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,2515753111,1,active,,11jun1968,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,0,94,94,2017
010121,VAUGHAN REG MED CTR DALLAS AVE CAMPUS,1050 W DALLAS AVE,SELMA,AL,36701,3344184190,0,"vol-merg,close",01apr2002,07oct1968,,graduate,0,1,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,0,125,125,2017
010122,CHOCTAW COMMUNITY HOSPITAL,1406 B EAST PUSHMATAHA,BUTLER,AL,36904,2054592461,0,"vol-merg,close",30apr1993,19nov1968,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,54,54,2017
010123,FLORENCE HOSPITAL,2111 CLOYD BLVD P O BOX 2010,FLORENCE,AL,35630,2057678700,0,vol-other,01oct1998,26nov1969,010159,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,155,155,2017
010124,MEDICAL CENTER SHOALS,201 AVALON AVE BOX 3359,MUSCLE SHOALS,AL,35662,2053861600,0,vol-other,01oct1998,29may1970,010157,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,1,128,128,2017
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,2054857117,1,active,,19may1969,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,0,50,50,2017
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,3346705000,1,active,,10jun1969,,limited,0,0,1,0,0,1,0,short term,government federal,0,0,1,0,0,0,97,97,2017
010127,HUNTSVILLE HOSPITAL EAST,911 BIG COVE RD,HUNTSVILLE,AL,35801,2055178020,0,"vol-merg,close",02jun1998,15jan1970,,limited,0,0,0,1,0,1,0,short term,government hosp district/authority,0,0,1,0,0,1,323,323,2017
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,2512469021,1,active,,03mar1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,0,35,35,2017
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,2519375521,1,active,,16mar1970,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,1,70,70,2017
