pn,name,address,city,state,zip,tel,active,termcode,termdate,partdate,prev_pn,medaffil,resprog_ada,resprog_ama,resprog_aoa,resprog_oth,residents,shortterm,cah,provider_subtype,typ_control,nonprofit,forprofit,govt,maryland,nonstate,urbancbsa,beds_tot,beds_cert,firstyear
010032,WEDOWEE HOSPITAL,301 NORTH MAIN STREET,WEDOWEE,AL,36278,2053572111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,34,34,1993
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,2059349957,1,active,,01jul1966,,major,0,0,0,1,462,1,0,short term,government state,0,0,1,0,0,,908,908,1993
010034,COMMUNITY HOSPITAL,P O BOX 707 FRIENDSHIP ROAD,TALLASSEE,AL,36078,2052836541,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,77,77,1993
010035,CULLMAN REGIONAL MEDICAL CENTER INC,401 ARNOLD STREET NE,CULLMAN,AL,35055,2057341210,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,169,169,1993
010036,ANDALUSIA HOSPITAL,849 SOUTH THREE NOTCH ST P O BOX 760,ANDALUSIA,AL,36420,2052228466,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,77,77,1993
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,2052358901,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,125,125,1993
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,2055338123,1,active,,01jul1966,,limited,0,1,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,578,578,1993
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35999,2054944000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,346,346,1993
010041,NORTH MOBILE COMMUNITY HOSPITAL,BAKER ROAD  HARTLEY STREET,SATSUMA,AL,36572,2056751541,0,"vol-merg,close",07oct1988,22sep1978,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,38,38,1993
010043,VAUGHN CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,2057552500,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,60,60,1993
010044,MARION CO MED CENTER AND NURSING HOME,1315 MILITARY STREET SOUTH,HAMILTON,AL,35570,2059217861,1,active,,01nov1981,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,57,57,1993
010045,FAYETTE CO HOSPITAL AND NURSING HOME,1653 TEMPLE AVE NORTH P O DRAWER 878,FAYETTE,AL,35555,2059325966,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,61,61,1993
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET P O BOX 268,GADSDEN,AL,35902,2055435200,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,281,281,1993
010047,GEORGIANA DOCTORS HOSPITAL,JONES AND MIRANDA STREET P O BOX 548,GEORGIANA,AL,36033,2053762205,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,22,22,1993
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS ST,ENTERPRISE,AL,36330,2053470584,1,active,,28may1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,135,135,1993
010050,BLOUNT MEMORIAL HOSPITAL,1000 LINCOLN AVE P O BOX 707,ONEONTA,AL,35121,2056253511,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,101,101,1993
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,2053723388,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,20,20,1993
010052,LAKESHORE COMMUNITY HOSPITAL,1231 EAST SOUTH STREET P O BOX 248,DADEVILLE,AL,36853,2058257821,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,46,46,1993
010053,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DR, MED PARK PLAZA",ATMORE,AL,36502,2053682500,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,51,51,1993
010054,PARKWAY MEDICAL CENTER HOSPITAL,1874 BELTLINE RD SW,DECATUR,AL,35603,2053502211,1,active,,11jan1975,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,120,120,1993
010055,FLOWERS HOSPITAL INC,3228 WEST MAIN STREET,DOTHAN,AL,36301,2057935000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,215,215,1993
010056,ST VINCENTS HOSPITAL,2701 NINTH COURT SOUTH,BIRMINGHAM,AL,35205,2059397000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,338,338,1993
010057,ENTERPRISE HOSPITAL,HWY 88 BOX 1220,ENTERPRISE,AL,36331,2053479541,0,"vol-merg,close",01apr1991,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,47,47,1993
010058,BIBB MEDICAL CENTER HOSPITAL,164 PIERSON AVE,CENTREVILLE,AL,35042,2059264881,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,35,35,1993
010059,LAWRENCE COUNTY HOSPITAL,202 HOSPITAL STREET P O BOX 39,MOULTON,AL,35650,2059742200,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,98,98,1993
010060,CLEBURNE COUNTY HOSPITAL,411 ROSS ST BOX 398,HEFLIN,AL,36264,2054632121,0,vol-other,26feb1990,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,17,17,1993
010061,JACKSON CO HOSP & NURSING HOME,WOOD COVE ROAD P O BOX 1050,SCOTTSBORO,AL,35768,2052594444,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,170,170,1993
010062,WIREGRASS HOSPITAL AND NURSING HOME,1200 W MAPLE AVENUE,GENEVA,AL,36340,2056843655,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,83,83,1993
010064,CARRAWAY METHODIST MEDICAL CENTER,1600 NORTH 26TH STREET,BIRMINGHAM,AL,35234,2052266000,1,active,,25may1971,,no affiliation,0,1,0,0,72,1,0,short term,non-profit church,1,0,0,0,0,,617,617,1993
010065,RUSSELL HOSPITAL,P O BOX 939 U S HWY 280 BYPASS,ALEXANDER CITY,AL,35010,2053297100,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,100,100,1993
010066,FLORALA MEMORIAL HOSPITAL,515 EAST FIFTH AVENUE,FLORALA,AL,36442,2058583287,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,23,23,1993
010067,JOHN A ANDREW COMMUNITY HOSPITAL,TUSKEGEE INSTITUTE,TUSKEGEE INSTITUTE,AL,36088,2057279375,0,"vol-merg,close",31oct1987,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,136,51,1993
010068,LLOYD NOLAND HOSPITAL,701 LLOYD NOLAND PRKWY,FAIRFIELD,AL,35064,2057835106,1,active,,01jul1966,,limited,0,1,0,0,12,1,0,short term,non-profit private,1,0,0,0,0,,319,319,1993
010069,LAKEVIEW COMMUNITY HOSPITAL,820 W WASHINGTON ST,EUFAULA,AL,36027,2056875761,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,74,74,1993
010070,MEDICAL PARK WEST,1915 19TH STREET ENSLEY,BIRMINGHAM,AL,35218,2057831000,0,"vol-merg,close",31jul1988,01jul1970,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,83,83,1993
010072,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,2052495000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,148,148,1993
010073,CLAY COUNTY HOSPITAL,544 EAST FIRST AVENUE,ASHLAND,AL,36251,2053542131,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,53,53,1993
010074,HENRY COUNTY HOSPITAL & NURSING HOME,212 DOTHAN RD BOX 639,ABBEVILLE,AL,36310,2055852241,0,"vol-merg,close",01mar1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,48,48,1993
010075,PERRY COMMUNITY HOSPITAL,E LAFAYETTE ST,MARION,AL,36756,2056836111,0,"vol-merg,close",31dec1988,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,46,46,1993
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET P O BOX 2208,ANNISTON,AL,36202,2052355121,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,372,372,1993
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,2052339292,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,101,101,1993
010080,LAMAR REGIONAL HOSPITAL,507 5TH ST SW P O BOX 308,VERNON,AL,35592,2056957111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,70,70,1993
010081,MONTGOMERY REGIONAL MEDICAL CENTER,301 SOUTH RIPLEY STREET,MONTGOMERY,AL,36104,2052698000,1,active,,01jul1966,,graduate,0,1,0,0,9,1,0,short term,for-profit proprietary,0,1,0,0,0,,250,250,1993
010083,SOUTH BALDWIN HOSPITAL,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,2059523400,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,82,82,1993
010084,HEALTHSOUTH MEDICAL CENTER,1201 ELEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35205,2059307000,1,active,,13dec1973,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,219,219,1993
010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35601,2055520055,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,337,337,1993
010086,CARRAWAY NORTHWEST MEDICAL CENTER,HIGHWAY 78 WEST P O BOX 130,WINFIELD,AL,35594,2054874234,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,71,71,1993
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM ST,MOBILE,AL,36617,2054717118,1,active,,31dec1970,,major,0,1,0,0,193,1,0,short term,government state,0,0,1,0,0,,406,406,1993
010089,WALKER REGIONAL MEDICAL CENTER INC,3400 HWY 78 BYPASS P O BOX 3547,JASPER,AL,35502,2053874404,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,267,267,1993
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,2056331000,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,349,349,1993
010091,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON STREET,GROVE HILL,AL,36451,2052753191,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,50,50,1993
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,2057597111,1,active,,01jul1966,,major,0,1,0,1,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,658,658,1993
010094,NORTHWEST MEDICAL CENTER,715 HIGHWAY 43 NE  P O BOX 1089,RUSSELLVILLE,AL,35653,2053321611,1,active,,19jul1972,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,100,100,1993
010095,HALE COUNTY HOSPITAL,FIRST & GREEN STREETS,GREENSBORO,AL,36744,2056243024,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,39,39,1993
010096,ABERNETHY MEMORIAL HOSPITAL,WILKINSON STREET P O DRAWER A,FLOMATON,AL,36441,2052962427,0,"vol-merg,close",31dec1992,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,15,15,1993
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,2055674311,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,69,69,1993
010098,RANDOLPH COUNTY HOSPITAL,1000 WADLEY HIGHWAY,ROANOKE,AL,36274,2058634111,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit church,1,0,0,0,0,,92,92,1993
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE P O BOX 908,BREWTON,AL,36427,2058678061,1,active,,01jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,91,91,1993
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,2059282375,1,active,,09aug1966,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,150,150,1993
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35160,2053628111,1,active,,01aug1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,122,122,1993
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,2056824131,1,active,,31jul1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,32,32,1993
010103,BAPTIST MEDICAL CENTER PRINCETON,701 PRINCETON AVE SW,BIRMINGHAM,AL,35211,2057833000,1,active,,01jul1975,,graduate,0,0,0,0,35,1,0,short term,non-profit church,1,0,0,0,0,,524,524,1993
010104,BAPT MED CNTR & SKIL NURS UNI MONTCLAI,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,2055921200,1,active,,08aug1966,,limited,0,1,0,0,37,1,0,short term,non-profit church,1,0,0,0,0,,534,534,1993
010108,AUTAUGA MEDICAL CENTER,124 S MEMORIAL DR,PRATTVILLE,AL,36067,2053650651,1,active,,17aug1977,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,85,85,1993
010109,PICKENS COUNTY MEDICAL CENTER INC,HIGHWAY 17 NORTH P O BOX 478,CARROLLTON,AL,35447,2053678111,1,active,,28jul1966,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,56,56,1993
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,2057382140,1,active,,07dec1966,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,30,30,1993
010111,GUIN HOSPITAL,1201 14TH ST BOX 250,GUIN,AL,35563,2054683353,0,invol-agreemnt,06apr1987,01may1980,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,21,21,1993
010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST P O BOX 890,DEMOPOLIS,AL,36732,2052894000,1,active,,25mar1976,,limited,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,99,99,1993
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,2054312414,1,active,,01feb1967,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,704,704,1993
010114,BESSEMER CARRAWAY MEDICAL CENTER,P O BOX 847 U S HIGHWAY 11 SOUTH,BESSEMER,AL,35021,2054817000,1,active,,01nov1973,,no affiliation,0,0,0,0,0,1,0,short term,non-profit private,1,0,0,0,0,,300,300,1993
010115,RED BAY HOSPITAL,211 HOSPITAL ROAD P O BOX 490,RED BAY,AL,35582,2053569532,1,active,,27apr1967,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,33,33,1993
010117,LONGVIEW GENERAL HOSPITAL,1100 BANKHEAD HWY SW,GRAYSVILLE,AL,35073,2056749422,1,active,,24aug1967,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,50,50,1993
010118,SELMA MEDICAL CENTER HOSPITAL INC,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,2058728461,1,active,,20jul1971,,graduate,0,1,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,214,214,1993
010119,UNIVERSITY OF SOUTH AL DOCTORS HOSP,1700 CENTER ST BOX 1708,MOBILE,AL,36604,2054151000,1,active,,29apr1969,,major,0,1,0,0,0,1,0,short term,government state,0,0,1,0,0,,159,159,1993
010120,MONROE COUNTY HOSPITAL,P O BOX 886 1901 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,2055753111,1,active,,11jun1968,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,94,94,1993
010121,VAUGHAN REGIONAL MEDICAL CENTER INC,1050 W DALLAS AVE,SELMA,AL,36701,2054186000,1,active,,07oct1968,,no affiliation,0,1,1,0,0,1,0,short term,non-profit private,1,0,0,0,0,,125,125,1993
010122,CHOCTAW COMMUNITY HOSPITAL,1406 B EAST PUSHMATAHA,BUTLER,AL,36904,2054592461,0,"vol-merg,close",30apr1993,19nov1968,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,54,54,1993
010123,FLORENCE HOSPITAL,2111 CLOYD BLVD P O BOX 2010,FLORENCE,AL,35630,2057678700,1,active,,26nov1969,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,155,155,1993
010124,MEDICAL CITY SHOALS,201 AVALON AVE BOX 3359,MUSCLE SHOALS,AL,35661,2053861601,1,active,,29may1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,128,128,1993
010125,BURDICK-WEST MEMORIAL HOSPITAL,P O BOX 780 HIGHWAY 195 WEST,HALEYVILLE,AL,35565,2054865213,1,active,,19may1969,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,99,99,1993
010126,EDGE REGIONAL MEDICAL CENTER,HWY 231 SOUTH BOX 667,TROY,AL,36081,2055668800,1,active,,10jun1969,,no affiliation,0,0,0,0,0,1,0,short term,government local,0,0,1,0,0,,97,97,1993
010127,MEDICAL CENTER HOSPITAL,911 BIG COVE RD,HUNTSVILLE,AL,35801,2055325600,1,active,,15jan1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,323,323,1993
010128,CLARKE HOSPITAL INC,220 HOSPITAL DRIVE,JACKSON,AL,36545,2052469021,1,active,,03mar1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,35,35,1993
010129,NORTH BALDWIN HOSPITAL,1815 HAND AVENUE P O BOX 1409,BAY MINETTE,AL,36507,2059375521,1,active,,16mar1970,,no affiliation,0,0,0,0,0,1,0,short term,non-profit other,1,0,0,0,0,,55,55,1993
010130,ST CLAIR REGIONAL HOSPITAL,2805 HOSPITAL DR,PELL CITY,AL,35125,2053383301,1,active,,31mar1970,,no affiliation,0,0,0,0,0,1,0,short term,government hosp district/authority,0,0,1,0,0,,82,82,1993
010131,CRESTWOOD HOSPITAL,1 HOSPITAL DR,HUNTSVILLE,AL,35801,2058823100,1,active,,01jul1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,120,120,1993
010133,LIVINGTON TOMBIGBEE,HIGHWAY 11 NORTH,LIVINGSTON,AL,35470,2056529511,0,vol-other,15jul1987,02nov1970,,no affiliation,0,0,0,0,0,1,0,short term,for-profit proprietary,0,1,0,0,0,,72,72,1993
